datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2022-08-21 22:00:00,282.08,282.46,277.22,277.75,25061070,,,,-0.01535,0,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,,0,0,
2022-08-22 22:00:00,276.44,278.86,275.4,276.44,17527409,277.75,-0.004716,-0.004716,0.0,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.46,0,0,
2022-08-23 22:00:00,275.41,277.23,275.11,275.79,18137019,276.44,-0.002351,-0.003726,0.00138,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.12,0,1,
2022-08-24 22:00:00,277.33,279.02,274.52,278.85,16583407,275.79,0.011095,0.005584,0.005481,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,4.5,0,1,
2022-08-25 22:00:00,279.08,280.34,267.98,268.09,27549307,278.85,-0.038587,0.000825,-0.039379,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,12.36,1,0,
2022-08-28 22:00:00,265.85,267.4,263.85,265.23,20338544,268.09,-0.010668,-0.008355,-0.002332,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,4.24,0,1,
2022-08-29 22:00:00,266.67,267.05,260.66,262.97,22767071,265.23,-0.008521,0.005429,-0.013875,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.39,0,1,
2022-08-30 22:00:00,265.39,267.11,261.33,261.47,24791834,262.97,-0.005704,0.009203,-0.014771,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,5.78,0,1,
2022-08-31 22:00:00,258.87,260.89,255.41,260.4,23263431,261.47,-0.004092,-0.009944,0.00591,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.06,0,1,
2022-09-01 22:00:00,261.695,264.74,254.47,256.06,22855380,260.4,-0.016667,0.004973,-0.021533,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,10.27,0,1,
2022-09-05 22:00:00,256.2,257.83,251.94,253.25,21328242,256.06,-0.010974,0.000547,-0.011514,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,5.89,0,1,
2022-09-06 22:00:00,254.7,258.83,253.22,258.09,24126700,253.25,0.019112,0.005726,0.01331,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,5.61,0,1,
2022-09-07 22:00:00,257.51,260.43,254.79,258.52,20319911,258.09,0.001666,-0.002247,0.003922,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,5.64,1,0,
2022-09-08 22:00:00,260.5,265.23,260.29,264.46,22093190,258.52,0.022977,0.007659,0.015202,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.71,1,0,
2022-09-11 22:00:00,265.78,267.45,265.16,266.65,18747690,264.46,0.008281,0.004991,0.003273,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,2.99,1,0,
2022-09-12 22:00:00,258.84,260.4,251.59,251.99,33353318,266.65,-0.054978,-0.029289,-0.026464,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,15.06,1,0,
2022-09-13 22:00:00,253.53,254.23,249.86,252.22,23912954,251.99,0.000913,0.006111,-0.005167,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,4.37,0,1,
2022-09-14 22:00:00,249.77,251.4,244.02,245.38,31530948,252.22,-0.027119,-0.009714,-0.017576,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,8.2,1,0,
2022-09-15 22:00:00,244.26,245.3,242.0627,244.74,39791768,245.38,-0.002608,-0.004564,0.001965,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.3173,0,1,
2022-09-18 22:00:00,242.465,245.14,240.85,244.52,26826931,244.74,-0.000899,-0.009296,0.008475,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,4.29,0,1,
2022-09-19 22:00:00,242.065,243.51,239.64,242.45,26660299,244.52,-0.008466,-0.01004,0.00159,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,4.88,0,1,
2022-09-20 22:00:00,244.27,247.66,238.9,238.95,28625557,242.45,-0.014436,0.007507,-0.021779,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,8.76,0,1,
2022-09-21 22:00:00,237.8704,243.86,237.57,240.98,31061162,238.95,0.008496,-0.004518,0.013073,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.29,0,1,
2022-09-22 22:00:00,239.54,241.13,235.2,237.92,34176048,240.98,-0.012698,-0.005976,-0.006763,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,5.93,1,0,
2022-09-25 22:00:00,237.045,241.45,236.9,237.45,27694190,237.92,-0.001975,-0.003678,0.001709,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,4.55,0,1,
2022-09-26 22:00:00,239.98,241.8,234.5,236.41,27018732,237.45,-0.00438,0.010655,-0.014876,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,7.3,0,1,
2022-09-27 22:00:00,236.81,242.33,234.73,241.07,29029679,236.41,0.019712,0.001692,0.017989,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,7.6,0,1,
2022-09-28 22:00:00,238.89,239.95,234.41,237.5,27484233,241.07,-0.014809,-0.009043,-0.005819,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.66,1,0,
