datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2022-08-21 22:00:00,169.69,169.86,167.135,167.57,69026809,,,,-0.012493,0,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,,0,0,
2022-08-22 22:00:00,167.08,168.71,166.65,167.23,54147079,167.57,-0.002029,-0.002924,0.000898,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.06,0,0,
2022-08-23 22:00:00,167.32,168.11,166.245,167.53,53841524,167.23,0.001794,0.000538,0.001255,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.865,0,1,
2022-08-24 22:00:00,168.78,170.14,168.35,170.03,51218209,167.53,0.014923,0.007461,0.007406,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.61,1,0,
2022-08-25 22:00:00,170.57,171.05,163.56,163.62,78960980,170.03,-0.037699,0.003176,-0.040746,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,7.49,1,0,
2022-08-28 22:00:00,161.145,162.9,159.82,161.38,73313953,163.62,-0.01369,-0.015127,0.001458,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.8,0,1,
2022-08-29 22:00:00,162.13,162.56,157.72,158.91,77906197,161.38,-0.015305,0.004647,-0.019861,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,4.84,0,1,
2022-08-30 22:00:00,160.305,160.58,157.14,157.22,87991091,158.91,-0.010635,0.008779,-0.019245,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.44,0,1,
2022-08-31 22:00:00,156.64,158.42,154.67,157.96,74229896,157.22,0.004707,-0.003689,0.008427,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.75,0,1,
2022-09-01 22:00:00,159.75,160.362,154.965,155.81,76957768,157.96,-0.013611,0.011332,-0.024664,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,5.397,1,0,
