datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2022-08-21 22:00:00,291.913333,292.4,286.296667,289.913333,55843344,,,,-0.006851,0,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,,0,0,
2022-08-22 22:00:00,291.453333,298.826633,287.923333,296.453333,63985041,289.913333,0.022558,0.005312,0.017155,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,10.9033,0,0,
2022-08-23 22:00:00,297.563333,303.646667,296.5,297.096667,57259710,296.453333,0.00217,0.003744,-0.001568,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,7.193333,1,0,
2022-08-24 22:00:00,302.36,302.96,291.6,296.07,53230013,297.096667,-0.003456,0.017716,-0.020803,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,11.36,1,0,
2022-08-25 22:00:00,297.43,302.0,287.47,288.09,57163947,296.07,-0.026953,0.004594,-0.031402,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,14.53,0,1,
2022-08-28 22:00:00,282.83,287.74,280.7,284.82,41864742,288.09,-0.011351,-0.018258,0.007036,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,7.39,0,1,
2022-08-29 22:00:00,287.865,288.48,272.65,277.7,50541759,284.82,-0.024998,0.010691,-0.035312,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,15.83,0,1,
2022-08-30 22:00:00,280.62,281.25,271.81,275.61,52107337,277.7,-0.007526,0.010515,-0.017853,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,9.44,0,1,
2022-08-31 22:00:00,272.575,277.58,266.15,277.16,54287024,275.61,0.005624,-0.011012,0.016821,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,11.43,0,1,
2022-09-01 22:00:00,281.065,282.35,269.08,270.21,50890090,277.16,-0.025076,0.014089,-0.038621,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,13.27,1,0,
2022-09-05 22:00:00,272.675,275.99,265.74,274.42,55859984,270.21,0.01558,0.009123,0.0064,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,10.25,0,1,
2022-09-06 22:00:00,273.1,283.84,272.27,283.7,50028916,274.42,0.033817,-0.00481,0.038814,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,11.57,1,0,
2022-09-07 22:00:00,281.3,289.5,279.76,289.26,53713124,283.7,0.019598,-0.00846,0.028297,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,9.74,1,0,
2022-09-08 22:00:00,291.67,299.85,291.245,299.68,54470854,289.26,0.036023,0.008332,0.027463,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,10.59,1,0,
2022-09-11 22:00:00,300.72,305.49,300.4,304.42,48674604,299.68,0.015817,0.00347,0.012304,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,5.81,1,0,
2022-09-12 22:00:00,292.9,297.3999,290.4,292.13,68229619,304.42,-0.040372,-0.037842,-0.002629,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,14.02,1,0,
2022-09-13 22:00:00,292.24,306.0,291.64,302.61,72628653,292.13,0.035874,0.000377,0.035485,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,14.36,0,1,
2022-09-14 22:00:00,301.825,309.12,300.7247,303.75,64795523,302.61,0.003767,-0.002594,0.006378,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,8.3953,1,0,
2022-09-15 22:00:00,299.605,303.71,295.6005,303.35,87087786,303.75,-0.001317,-0.013646,0.0125,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,8.1495,1,0,
2022-09-18 22:00:00,300.09,309.84,297.8,309.07,60231156,303.35,0.018856,-0.010747,0.029924,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,12.04,0,1,
2022-09-19 22:00:00,306.91,313.33,305.58,308.73,61642783,309.07,-0.0011,-0.006989,0.00593,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,7.75,1,0,
2022-09-20 22:00:00,308.29,313.8,300.63,300.8,62555656,308.73,-0.025686,-0.001425,-0.024295,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,13.17,0,1,
2022-09-21 22:00:00,299.86,301.29,285.82,288.59,70545413,300.8,-0.040592,-0.003125,-0.037584,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,15.47,0,1,
2022-09-22 22:00:00,283.09,284.5,272.82,275.33,63748362,288.59,-0.045948,-0.019058,-0.027412,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,15.77,0,1,
2022-09-25 22:00:00,271.83,284.09,270.31,276.01,58076913,275.33,0.00247,-0.012712,0.015377,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,13.78,0,1,
2022-09-26 22:00:00,283.84,288.67,277.51,282.94,61925185,276.01,0.025108,0.028369,-0.003171,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,12.66,1,0,
2022-09-27 22:00:00,283.08,289.0,277.57,287.81,54664809,282.94,0.017212,0.000495,0.016709,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,11.43,1,0,
2022-09-28 22:00:00,282.76,283.65,265.78,268.21,77620642,287.81,-0.0681,-0.017546,-0.051457,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,22.03,1,0,
2022-09-29 22:00:00,266.145,275.57,262.47,265.25,67726598,268.21,-0.011036,-0.007699,-0.003363,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,13.1,0,1,
2022-10-02 22:00:00,254.5,255.16,241.01,242.4,98363541,265.25,-0.086145,-0.040528,-0.047544,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,24.24,0,1,
2022-10-03 22:00:00,250.52,257.5,242.01,249.44,109578535,242.4,0.029043,0.033498,-0.004311,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,15.49,0,1,
2022-10-04 22:00:00,245.01,246.6697,233.27,240.81,86982673,249.44,-0.034597,-0.01776,-0.017142,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,16.17,1,0,
2022-10-05 22:00:00,239.44,244.58,235.35,238.13,69298437,240.81,-0.011129,-0.005689,-0.005471,1,1,234.389149,0,0.0,244.224471,1,0.147639,228.700874,0,0.0,244.224471,1,0.147639,224.750573,0,0.0,244.224471,1,0.147639,219.839946,0,0.0,244.224471,1,0.147639,ENTRY_LONG,OPEN,238.13,,240.5113,,,24997.5,2500.0,10.498467,0,0,0,9.23,0,1,
2022-10-06 22:00:00,233.935,234.5715,222.02,223.07,83916800,238.13,-0.063243,-0.017616,-0.046445,0,1,231.529834,1,3.993547,241.301118,0,0.0,225.117387,1,1.300712,241.301118,0,0.0,221.297928,0,0.0,241.301118,0,0.0,217.428667,0,0.0,241.301118,0,0.0,,OPEN,238.13,,240.5113,,-158.106916,24997.5,,,1,1,1,16.11,0,1,
2022-10-09 22:00:00,223.93,226.99,218.3582,222.96,67925018,223.07,-0.000493,0.003855,-0.004332,1,1,217.045541,0,0.0,226.113417,1,0.392963,210.988406,0,0.0,226.113417,1,0.392963,207.433136,0,0.0,226.113417,1,0.392963,203.710985,0,0.0,226.113417,1,0.392963,,OPEN,238.13,,240.5113,,-159.261748,24997.5,,,1,1,1,8.6318,0,1,
2022-10-10 22:00:00,220.945,225.75,215.0,216.5,77013202,222.96,-0.028974,-0.009037,-0.020118,1,1,216.602302,1,0.71865,225.866693,0,0.0,208.960527,0,0.0,225.866693,0,0.0,207.083309,0,0.0,225.866693,0,0.0,203.643622,0,0.0,225.866693,0,0.0,EXIT_TARGET_HIT,CLOSED,238.13,220.651027,220.651027,224.310342,-227.081846,25199.081161,25229.181539,115.483139,1,1,1,10.75,0,1,
2022-10-11 22:00:00,215.33,219.2999,211.51,217.24,66860699,216.5,0.003418,-0.005404,0.00887,1,1,210.480141,0,0.0,219.393178,0,0.0,203.126547,0,0.0,219.393178,0,0.0,201.179567,0,0.0,219.393178,0,0.0,197.775424,0,0.0,219.393178,0,0.0,ENTRY_LONG,OPEN,217.24,,219.4124,,,25196.561252,2519.908116,11.599651,1,0,0,7.7899,0,1,
2022-10-12 22:00:00,208.3,222.99,206.22,221.72,91483045,217.24,0.020622,-0.041153,0.064426,1,1,210.927035,1,2.166744,220.030134,1,1.362487,204.041991,0,0.0,220.030134,1,1.362487,201.963781,0,0.0,220.030134,1,1.362487,198.483666,0,0.0,220.030134,1,1.362487,EXIT_TARGET_HIT,CLOSED,217.24,219.4124,219.4124,20.134066,51.966435,25216.695318,,,1,0,0,16.77,1,0,
2022-10-13 22:00:00,224.01,226.26,204.16,204.99,94124511,221.72,-0.075456,0.010328,-0.084907,1,1,215.377993,1,5.059532,224.573715,1,0.760547,208.475533,1,1.946389,224.573715,1,0.760547,206.227319,1,0.932401,224.573715,1,0.760547,202.609774,0,0.0,224.573715,1,0.760547,ENTRY_LONG,OPEN,204.99,,207.0399,,,25214.173649,2521.669532,12.301427,1,0,0,22.1,1,0,
2022-10-16 22:00:00,210.04,221.86,209.45,219.35,79428810,204.99,0.070052,0.024635,0.044325,1,0,199.025222,0,0.0,207.634294,1,6.939707,192.953585,0,0.0,207.634294,1,6.939707,190.75746,0,0.0,207.634294,1,6.939707,187.352171,0,0.0,207.634294,1,6.939707,EXIT_TARGET_HIT,CLOSED,204.99,207.0399,207.0399,20.14814,176.648492,25234.321788,,,1,0,0,16.87,0,1,
